user_id,date,name,brand,price,image,quantity
70,2003-04-26T18:42:00,Coalhada CANTO DE MINAS Integral 180g,Canto de Minas,"R$ 1,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-3e8e9a58476b4b73a67d1a994afd6ef7.jpg,3
199,1992-08-09T17:59:03,Atum Sólido GOMES DA COSTA Baixo Teor de Sódio Óleo 170g ,GOMES,"R$ 11,90",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-a525d800810e43eebe2d1a7559d2af92.jpg,3
410,1998-09-16T08:01:36,Iogurte DANONE Salada de Frutas 900g ,Danone ,"R$ 8,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-0aefe2590e5c4dfb8f5d3b41bd69e76c.jpg,3
404,2016-12-16T12:03:13,Macarrão Instantâneo NISSIN LÁMEN Carne e Tomate 85g,Nissin Lámen,"R$ 1,49",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-27b20d25f46d488ea3a8f3c05241be04.jpg,3
420,2012-01-23T21:23:16,Fubá Pré Cozido YOKI 1Kg ,Yoki,"R$ 7,59",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-3f2179889d474a938acdde5e628da183.jpg,3
89,2008-03-03T01:07:38,Atum Ralado GOMES DA COSTA Molho de Tomate 170g,Gomes da Costa,"R$ 6,59",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-ef9c9c749e9147c2a263d5022d35bdb4.jpg,2
352,2010-01-01T01:38:54,Margarina DELÍCIA com Sal 250g ,Delicia ,"R$ 2,29",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-fb106635c77c4df6bf72ddc54ca26ad6.jpeg,4
990,1995-08-15T04:49:57,Iogurte Lacfree VERDE CAMPO Morango 500g,Verde Campo,"R$ 7,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-65090471c2f74c68ab2788514e26c6a6.jpeg,3
400,2015-11-01T21:46:33,Macarrão ADRIA com Ovos Parafuso 500g,Adria,"R$ 3,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-4ef24667ab094dc2a2cb1f0094fb5237.jpg,2
57,2015-08-20T18:46:13,Macarrão com Ovos ADRIA Argola 500g,Adria,"R$ 3,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-6ef91bbd3cc146b0a6336a9b66e77f6f.jpg,4
400,2015-11-01T21:46:33,Massa de Milho sem Glúten FIT FOOD com Quinoa Espaguete 250g,Fit Food,"R$ 9,49",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-4310d2bfaed345d28bd80f16c0292d35.jpeg,5
902,2012-01-19T23:16:20,Feijão Fradinho AMÉLIA 1Kg,Amelia,"R$ 7,79",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-21123a3f75794764a0badee3c07bad98.jpg,5
762,1997-03-09T08:42:46,Arroz Parboilizado TIO JOÃO 5Kg ,Tio João,"R$ 18,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-77d1bdd903564ac38e114112ff8d7389.jpg,3
625,2012-04-13T21:00:36,Atum Ralado GOMES DA COSTA em Óleo 170g,Gomes da Costa,"R$ 6,59",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-83522ba350a84f919cd09da632f3a6e2.jpeg,2
471,1997-12-25T09:33:59,Massa Pastel GERMANA Quadrada 500g,Germana ,"R$ 6,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-8e40b341c911400482fdb64a50313d28.jpeg,5
417,2014-08-11T23:06:55,Macarrão Instantâneo TALHARIM Carne com Tomate 99g,Talharim,"R$ 2,29",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-9e9da74e2f8a418ea925bbe06f324ccd.jpeg,2
815,2003-08-14T16:24:16,Sêmola de Milho YOKI 500g ,Yoki,"R$ 4,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-4b4a6ccfcc5b4115addc7f501b742b8c.jpg,4
471,1997-12-25T09:33:59,Amido de Milho MAIZENA 200g,Maizena ,"R$ 3,59",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-108373a8e4ec4bfd8851919814959223.jpg,3
866,2012-03-03T03:28:06,Queijo Parmesão BURITIS Light Kg,Buritis,"R$ 89,90",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-8e1f328cdd334348a445bcc272b12847.jpeg,5
28,2002-06-10T12:12:43,Queijo Tofu SAMURAI Ervas Finas 300g,Samurai ,"R$ 17,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-1a2d0cbe038746069b052f3b571cbac3.jpg,2
28,2002-06-10T12:12:43,Macarrão RENATA Aletria 500g,Renata,"R$ 5,49",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-7dde135af39845d1836541beea7f111a.jpg,3
476,2004-09-10T03:31:00,Mistura 4 Legumes D'AUCY 300g,Daucy ,"R$ 5,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-5b635a13b99d498c8552e95ad34951d9.jpg,4
944,2018-12-16T14:27:23,Macarrão GALO Parafusinho 500g ,Galo,"R$ 4,29",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-0f11ab9eec6544f5a9678cc40b909ccc.jpeg,3
888,1995-11-28T09:00:14,Requeijão Lacfree VERDE CAMPO 180g,Lacfree,"R$ 9,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-2bcdd9f6efe94c97923eb46ccd9d7e4f.jpeg,3
762,1997-03-09T08:42:46,Macarrão Sêmola EMEGÊ Parafuso 500g,Emegê,"R$ 3,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-d4528df087964f1aa4cb95b00d353d4f.jpg,3
157,2006-10-26T15:36:19,Leite em Pó ITALAC Desnatado 280g,Italac ,"R$ 9,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-43c5a918cabc441e94ac541901cdb2d6.jpg,4
625,2012-04-13T21:00:36,Petit Suisse Itambezinho ITAMBÉ Tradicional 360g,Itambé ,"R$ 5,79",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-d8b5e540f67b48718d8d0d2b1cd6ca5a.jpeg,4
476,2004-09-10T03:31:00,Farinha de Puba DO SITIO 1Kg,Sitio,"R$ 7,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-013764d88e5f4daf9ed0b052ca8f6a77.jpg,3
837,2002-01-10T13:22:33,Presunto SEARA Fatiado 200g ,Seara ,"R$ 6,49",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-5cded689a0024371938c50aca29091bb.jpg,2
562,2010-05-18T18:26:19,Feijoada ANGLO 830g ,Anglo,"R$ 13,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-e0a926769a8942858a67ff42f4a46ab0.jpg,5
199,1992-08-09T17:59:03,Arroz com Galinha TIO JOÃO Cozinha&Sabor 175g,Tio João,"R$ 6,59",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-a6a29526eec445e1a76b7e59b221ab0d.jpg,2
385,1997-08-18T02:48:12,Macarrão Sêmola ADRIA Espaguete Nº8 500g ,Adria,"R$ 4,29",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-8f8a1d6e34ee4d6db77d9beebe4c4a0b.jpeg,4
560,2008-02-16T20:27:33,Requeijão NESTLÉ Light 200g,Nestle ,"R$ 6,49",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-a632858ab7a34dfca5b827b5bb9c174d.jpg,2
345,1998-06-20T12:54:26,Bife Vegetal SUPERBOM 300g,SUPERBOM,"R$ 19,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-20160209155504071048eeb741603ddd47aabe11e80b664468c9.jpg,5
404,2016-12-16T12:03:13,Arroz Cateto JASMINE 1Kg ,Jasmine,"R$ 16,29",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-87721bfeae5049b8830e377b5ade137e.jpg,2
804,2003-12-22T11:26:37,Feijão Jalo KICALDO 1Kg ,Kicaldo,"R$ 7,69",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-48462266852442a7be497876cbef04cb.png,2
89,2008-03-03T01:07:38,Massa MAJORA Fusilli 500g ,Majora,"R$ 3,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-bae9f6b3ed35423f91d3b238a280b588.jpeg,2
330,2004-05-21T03:52:49,Macarrão PAGANINI Nidi Tagliatelle 500g,Paganini ,"R$ 8,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-e72efaf0caf74926934788eab65a8c97.jpg,2
562,2010-05-18T18:26:19,Massa Lasanha BARILLA sem Ovos 250g,Barilla,"R$ 14,89",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-4266358f449142549f07b04b94dad1a0.jpeg,2
211,2005-07-07T18:32:37,Escalope ao Molho Caseiro SUPERBOM 380g ,Superbom,"R$ 21,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-a6b2f671a699461b91bf1ec961e5252f.jpg,5
70,2003-04-26T18:42:00,Atum Sólido COQUEIRO Óleo 170g,Coqueiro ,"R$ 9,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-94896e2526074840b0933a5e3eaae4fb.jpeg,3
23,1998-12-21T10:28:41,Requeijão BATAVO Tradicional 200g,Batavo ,"R$ 4,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-eb08acf4f7fe44e6be4a26646159b445.jpg,4
70,2003-04-26T18:42:00,Filé de Sardinha GOMES DA COSTA Tomate 125g,GOMES,"R$ 10,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-201602091555023619030c60558fecf04f1ea55efc84f6ac0379.jpg,3
269,2006-12-08T14:13:29,Ovos Caipira LABEL ROUGE com 6 Unidades,Label Rouge,"R$ 7,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-aa95a625beb44670b09f9cdcf5cd62fc.jpg,3
22,1990-02-09T03:31:14,Provolone BURITIS Defumado Kg,Buritis,"R$ 59,90",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-bed68243ddfa419d9cd93a4f34117bc4.jpg,2
767,2000-03-17T17:47:16,Macarrão Integral EMEGÊ Espaguete 500g,Emegê,"R$ 4,69",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-1732cd17759e463aac2e9167d06a715d.jpg,3
404,2016-12-16T12:03:13,Morango em Calda ACONCÁGUA 590g,Aconcagua,"R$ 8,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-f9c05fe1b5904c12b37dcfde5977f9a7.jpg,4
902,2012-01-19T23:16:20,Massa BARILLA sem Glúten Spaguetti Nº5 400g,Barilla,"R$ 19,90",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-acafbe58b5d54b6b9ea55ee6164df7c2.jpeg,4
902,2012-01-19T23:16:20,Farinha de Arroz TIO JOÃO 1Kg,Tio João,"R$ 6,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-a16e42cd917a45ddaf69f32ea2bfb9f5.jpg,3
999,2018-04-10T20:27:45,Mussarela MARIANA Lanche Kg,Mariana,"R$ 38,90",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-1c1387f482b14390a01627d67b98a79b.jpeg,4
254,2007-12-22T11:00:37,Arroz à Grega TIO JOÃO Cozinha Fácil 250g,Tio João,"R$ 5,49",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-859eac5a25df47f594f6718004a31d48.jpg,4
701,1991-09-09T12:52:33,Cream Cheese PHILADELPHIA Light 300g,Philadelphia,"R$ 16,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-457713ce5ba241df9f98851aebc136a1.jpg,2
866,2012-03-03T03:28:06,Massa LA MOLISANA Espaguete 500g,Molisana ,"R$ 5,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-b078360ad1a142519703246445edd2e2.jpg,3
70,2003-04-26T18:42:00,Filé de Sardinha GOMES DA COSTA Tomate 125g,GOMES,"R$ 10,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-201602091555023619030c60558fecf04f1ea55efc84f6ac0379.jpg,3
28,2002-06-10T12:12:43,Milnutri Pronutra DANONE 800g,Danone,"R$ 34,90",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-20c680a86e0a4bf5b91189ed865afd80.jpg,4
330,2004-05-21T03:52:49,Seleta de Legumes QUERO Sachê 200g,Quero,"R$ 4,59",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-3a697ba9b01d413397900313514c71d6.jpeg,2
116,2007-09-25T03:41:05,Salsicha ao Molho ANGLO 300g ,ANGLO,"R$ 3,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-794d577f6253401a825fc7bff788f4b7.jpg,2
404,2016-12-16T12:03:13,Farinha de Trigo EMEGÊ 1Kg,Emege,"R$ 3,89",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-9c73b0abe3cc44f1a87f4ea91683b4b7.jpg,4
866,2012-03-03T03:28:06,Leite em Pó ITAMBÉ Integral 400g,Itambé ,"R$ 11,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-6a3e3f6a0a584549b62bff0f30553738.jpg,4
404,2016-12-16T12:03:13,Farinha de Trigo EMEGÊ 1Kg,Emege,"R$ 3,89",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-9c73b0abe3cc44f1a87f4ea91683b4b7.jpg,4
654,1999-09-07T05:19:09,Macarrão EMEGÊ com Ovos Cabelo de Anjo 500g,Emegê,"R$ 4,99",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-edb44026528b4eaa961e65775a3813b3.jpg,5
70,2003-04-26T18:42:00,Macarrão RENATA Grano Duro Spaguetti Nº8 500g,Renata,"R$ 7,49",https://s3-sa-east-1.amazonaws.com/ib.item.image.medium/m-201602091546484445220c1ed874aecb4610b0e7c457cf3c3832.jpg,2
